CMPNY_NO,EQP_GOUP_NO,EQP_SN,SENSOR_NO,SENSOR_NM,DATA_01,DATA_02,DATA_03,REGIST_DT,DATA_DESC,PRODUCT_NM,SPEED
**********01,**********05,9,SS0000000021,템퍼링 1호_템퍼1존(1존),0.7805892267304474,0.5642166749381228,0.6760308877055453,0.874908685396521,,0.7376687106041986,0.21859709710842756
**********01,**********05,9,SS0000000038,템퍼링 1호_템퍼1존(2존),0.6067154575300293,0.31860303206980434,0.3134749073116324,0.5147294979839837,,0.949210740906903,0.6542158707442788
**********01,**********05,9,SS0000000050,템퍼링 1호_템퍼1존(3존),0.1653333678835872,0.9297779285960782,0.20343569029281994,0.3418727514316987,,0.8026598330810305,0.5282308186760714
**********01,**********05,3,SS0000000010,템퍼링 1호_템퍼1존(4존),0.15480526517711268,0.08491278583050388,0.1480262090262141,0.5369848556728047,,0.2766779427515961,0.33165031342326223
**********01,**********05,6,SS0000000043,템퍼링 2호_템퍼1존(1존),0.4197002833652428,0.6425847683621021,0.8186147044611066,0.2953230306211331,,0.6918902758355742,0.9012335948579329
**********01,**********05,6,SS0000000005,템퍼링 2호_템퍼1존(2존),0.37683581804100086,0.6903196854279643,0.7344559936854179,0.7148521345369953,,0.6757804090656478,0.6283761767171898
**********01,**********05,9,SS0000000030,템퍼링 2호_템퍼1존(3존),0.4996136508507426,0.3639375514482541,0.008239398105504447,0.6795950656164826,,0.1723056808746154,0.8636796100463678
**********01,**********05,6,SS0000000005,템퍼링 2호_템퍼1존(4존),0.13044125335531098,0.822808899311809,0.9934808762860291,0.715839351140159,,0.8134888717112297,0.7161968947436086
**********01,**********05,3,SS0000000022,템퍼링 2호_템퍼1존(5존),0.4916593420202219,0.6600087219638208,0.8681831674797861,0.42307063681379775,,0.2547577930059036,0.015752816762495514
**********01,**********05,6,SS0000000044,템퍼링 2호_템퍼1존(6존),0.10040600259031451,0.4781686443264529,0.36872372889188876,0.9373961325982441,,0.3098299054357977,0.9776521144249323
**********01,**********05,3,SS0000000012,템퍼링 3호_템퍼1존(1존),0.8812638169866941,0.4845361889776346,0.9948016688942237,0.5958609778901489,,0.19476494019549384,0.6749210221402251
**********01,**********05,3,SS0000000012,템퍼링 3호_템퍼1존(2존),0.9624768598808735,0.3247282941977099,0.9353665856420877,0.6779326646911212,,0.2643240448187506,0.6204774939306641
